Cohort,Strategy,Step,Model,TP,TN,FP,FN,Sensitivity,Specificity,PPV,NPV,Accuracy,F1,MCC,ROC_AUC,PR_AUC
InternalTest,stepwise1 (M4→M3),Step1,ClinicalA_Only,15,21,8,7,0.6818181818181509,0.7241379310344578,0.65217391304345,0.7499999999999732,0.7058823529411626,0.6666666666666666,0.40406058757304697,0.7570532915360502,0.6899385708811068
InternalTest,stepwise1 (M4→M3),Step2,Radiomics_plus_AllClinical,14,4,4,1,0.9333333333332711,0.4999999999999375,0.7777777777777346,0.79999999999984,0.78260869565214,0.8484848484848485,0.5003702332976756,0.7625,0.8025468883205457
InternalTest,stepwise2 (M5→M3),Step1,BaseClinical_Only,17,16,13,5,0.7727272727272376,0.5517241379310155,0.5666666666666478,0.7619047619047257,0.647058823529399,0.6538461538461539,0.32650492109923124,0.7225705329153606,0.5899750766113105
InternalTest,stepwise2 (M5→M3),Step2,Radiomics_plus_AllClinical,15,10,3,2,0.8823529411764188,0.7692307692307101,0.8333333333332871,0.8333333333332639,0.8333333333333056,0.8571428571428571,0.6590820436573076,0.8665158371040723,0.8461042311661506
ProspectiveTest,stepwise1 (M4→M3),Step1,ClinicalA_Only,32,36,25,7,0.8205128205127994,0.5901639344262198,0.5614035087719199,0.8372093023255619,0.6799999999999933,0.6666666666666666,0.40459982172346354,0.7580916351408155,0.5978986541516692
ProspectiveTest,stepwise1 (M4→M3),Step2,Radiomics_plus_AllClinical,27,16,9,5,0.8437499999999736,0.6399999999999745,0.7499999999999791,0.7619047619047257,0.7543859649122674,0.7941176470588235,0.4976283036277464,0.799375,0.7744806729481852
ProspectiveTest,stepwise2 (M5→M3),Step1,BaseClinical_Only,32,34,27,7,0.8205128205127994,0.5573770491803187,0.542372881355923,0.8292682926829066,0.6599999999999935,0.6530612244897959,0.3747524980972817,0.7347625052543085,0.5705930927049361
ProspectiveTest,stepwise2 (M5→M3),Step2,Radiomics_plus_AllClinical,27,18,9,5,0.8437499999999736,0.666666666666642,0.7499999999999791,0.78260869565214,0.7627118644067667,0.7941176470588235,0.5213946250897334,0.8188657407407407,0.7809589550981135
All,stepwise1 (M4→M3),Step1,ClinicalA_Only,47,57,33,14,0.7704918032786758,0.6333333333333263,0.5874999999999927,0.8028169014084394,0.6887417218543,0.6666666666666666,0.3970135715983128,0.7540072859744991,0.605654173494835
All,stepwise1 (M4→M3),Step2,Radiomics_plus_AllClinical,41,20,13,6,0.8723404255318963,0.6060606060605876,0.7592592592592452,0.7692307692307397,0.7624999999999905,0.8118811881188119,0.5028222099470054,0.7891682785299807,0.7832518335296518
All,stepwise2 (M5→M3),Step1,BaseClinical_Only,49,50,40,12,0.803278688524577,0.5555555555555494,0.5505617977528028,0.8064516129032128,0.6556291390728434,0.6533333333333333,0.3579226694961258,0.7274134790528233,0.5632433667319627
All,stepwise2 (M5→M3),Step2,Radiomics_plus_AllClinical,42,28,12,7,0.8571428571428397,0.6999999999999824,0.7777777777777634,0.7999999999999771,0.7865168539325755,0.8155339805825242,0.5673665146135801,0.8354591836734694,0.8041061124496017
