Cohort,Strategy,Sensitivity,Specificity,PPV,NPV,Accuracy,AUROC,Referral_Rate
Internal_Test,Two-step (Clinical-A → Echo-Net+All),0.636,0.862,0.778,0.758,0.765,0.850,0.353
Internal_Test,Two-step (Clinical-Base → Echo-Net+All),0.682,0.897,0.833,0.788,0.804,0.850,0.353
Internal_Test,Two-step (Clinical-A → Echo-Net),0.545,0.931,0.857,0.730,0.765,0.780,0.275
Internal_Test,Two-step (Clinical-Base → Echo-Net),0.636,0.862,0.778,0.758,0.765,0.780,0.353
Internal_Test,Single (Echo-Net),0.773,0.621,0.607,0.783,0.686,0.780,0.549
Internal_Test,Single (Echo-Net+A),0.909,0.724,0.714,0.913,0.804,0.836,0.549
Internal_Test,Single (Echo-Net+All),0.864,0.793,0.760,0.885,0.824,0.850,0.490
Internal_Test,Single (Clinical-A),0.682,0.724,0.652,0.750,0.706,0.757,0.451
Internal_Test,Single (Clinical-Base),0.773,0.552,0.567,0.762,0.647,0.723,0.588
External_Test,Two-step (Clinical-A → Echo-Net+All),0.692,0.852,0.750,0.812,0.790,0.882,0.360
External_Test,Two-step (Clinical-Base → Echo-Net+All),0.692,0.852,0.750,0.812,0.790,0.882,0.360
External_Test,Two-step (Clinical-A → Echo-Net),0.641,0.869,0.758,0.791,0.780,0.741,0.330
External_Test,Two-step (Clinical-Base → Echo-Net),0.667,0.885,0.788,0.806,0.800,0.741,0.330
External_Test,Single (Echo-Net),0.744,0.705,0.617,0.811,0.720,0.741,0.470
External_Test,Single (Echo-Net+A),0.974,0.787,0.745,0.980,0.860,0.853,0.510
External_Test,Single (Echo-Net+All),0.821,0.803,0.727,0.875,0.810,0.882,0.440
External_Test,Single (Clinical-A),0.821,0.590,0.561,0.837,0.680,0.758,0.570
External_Test,Single (Clinical-Base),0.821,0.557,0.542,0.829,0.660,0.735,0.590
Combined_Test,Two-step (Clinical-A → Echo-Net+All),0.672,0.856,0.759,0.794,0.781,0.870,0.358
Combined_Test,Two-step (Clinical-Base → Echo-Net+All),0.689,0.867,0.778,0.804,0.795,0.870,0.358
Combined_Test,Two-step (Clinical-A → Echo-Net),0.607,0.889,0.787,0.769,0.775,0.756,0.311
Combined_Test,Two-step (Clinical-Base → Echo-Net),0.656,0.878,0.784,0.790,0.788,0.756,0.338
Combined_Test,Single (Echo-Net),0.754,0.678,0.613,0.803,0.709,0.756,0.497
Combined_Test,Single (Echo-Net+A),0.951,0.767,0.734,0.958,0.841,0.848,0.523
Combined_Test,Single (Echo-Net+All),0.836,0.800,0.739,0.878,0.815,0.870,0.457
Combined_Test,Single (Clinical-A),0.770,0.633,0.588,0.803,0.689,0.754,0.530
Combined_Test,Single (Clinical-Base),0.803,0.556,0.551,0.806,0.656,0.727,0.589
